Review,Liked
Wow... Loved this place.,1
Crust is not good.,0
Not tasty and the texture was just nasty.,0
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
The selection on the menu was great and so were the prices.,1
Now I am getting angry and I want my damn pho.,0
Honeslty it didn't taste THAT fresh.),0
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0
The fries were great too.,1
A great touch.,1
Service was very prompt.,1
Would not go back.,0
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0
I tried the Cape Cod ravoli,0
I was disgusted because I was pretty sure that was human hair.,0
I was shocked because no signs indicate cash only.,1
Highly recommended.,0
Waitress was a little slow in service.,0
This place is not worth your time,0
did not like at all.,1
The Burrittos Blah!,1
The food,1
Service is also cute.,1
I could care less... The interior is just beautiful.,0
So they performed.,0
That's right....the red velvet cake.....ohhh this stuff is so good.,0
#NAME?,1
This hole in the wall has great Mexican street tacos,1
Took an hour to get our food only 4 tables in restaurant my food was Luke warm,1
The worst was the salmon sashimi.,1
Also there are combos like a burger,0
This was like the final blow!,1
I found this place by accident and I could not be happier.,0
seems like a good quick place to grab a bite of some familiar pub food,0
Overall,1
The only redeeming quality of the restaurant was that it was very inexpensive.,0
Ample portions and good prices.,1
Poor service,1
My first visit to Hiro was a delight!,1
Service sucks.,1
The shrimp tender and moist.,1
There is not a deal good enough that would drag me into that establishment again.,0
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0
On a positive note,0
Frozen pucks of disgust,1
The only thing I did like was the prime rib and dessert section.,1
It's too bad the food is so damn generic.,1
The burger is good beef,1
If you want a sandwich just go to any Firehouse!!!!!,1
My side Greek salad with the Greek dressing was so tasty,1
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,0
He came running after us when he realized my husband had left his sunglasses on the table.,1
Their chow mein is so good!,1
They have horrible attitudes towards customers,0
The portion was huge!,0
Loved it...friendly servers,0
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,1
Not much seafood and like 5 strings of pasta at the bottom.,1
The salad had just the right amount of sauce to not over power the scallop,0
The ripped banana was not only ripped,0
At least think to refill my water before I struggle to wave you over for 10 minutes.,0
This place receives stars for their APPETIZERS!!!,0
The cocktails are all handmade and delicious.,1
We'd definitely go back here again.,0
We are so glad we found this place.,1
Great food and service,0
Always a great time at Dos Gringos!,1
Update.....went back for a second time and it was still just as amazing,1
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,1
A great way to finish a great.,1
The deal included 5 tastings and 2 drinks,0
#NAME?,0
The service was meh.,1
It took over 30 min to get their milkshake,1
I guess I should have known that this place would suck,0
The scallop dish is quite appalling for value as well.,1
2 times - Very Bad Customer Service !,1
The sweet potato fries were very good and seasoned well.,1
Today is the second time I've been to their lunch buffet and it was pretty good.,1
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,1
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,1
walked in and the place smelled like an old grease trap and only 2 others there eating.,1
The turkey and roast beef were bland.,1
This place has it!,0
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0
I love the Pho and the spring rolls oh so yummy you have to try.,0
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0
All I have to say is the food was amazing!!!,1
Omelets are to die for!,0
Everything was fresh and delicious!,0
In summary,0
It's like a really sexy party in your mouth,1
Never been to Hard Rock Casino before,0
Best breakfast buffet!!!,1
say bye bye to your tip lady!,1
We'll never go again.,1
Will be back again!,0
Food arrived quickly!,0
It was not good.,0
On the up side,0
Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow,1
The only good thing was our waiter,1
Best Buffet in town,0
I LOVED their mussels cooked in this wine reduction,0
This is one of the better buffets that I have been to.,0
So we went to Tigerlilly and had a fantastic afternoon!,0
The food was delicious,1
The ambience is wonderful and there is music playing.,1
Will go back next trip out.,0
Sooooo good!!,0
REAL sushi lovers,1
At least 40min passed in between us ordering and the food arriving,1
This is a really fantastic Thai restaurant which is definitely worth a visit.,1
Nice,1
Good prices.,1
Check it out.,0
It was pretty gross!,1
I've had better atmosphere.,0
Kind of hard to mess up a steak but they did.,1
Although I very much liked the look and sound of this place,1
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,1
Worst service to boot,0
Service was fine and the waitress was friendly.,0
The guys all had steaks,1
We thought you'd have to venture further away to get good sushi,1
Host staff were,1
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0
Phenomenal food,0
I wouldn't return.,0
Definitely worth venturing off the strip for the pork belly,0
This place is way too overpriced for mediocre food.,0
Penne vodka excellent!,1
They have a good selection of food including a massive meatloaf sandwich,1
The management is rude.,1
Delicious NYC bagels,1
Great Subway,1
I had a seriously solid breakfast here.,0
This is one of the best bars with food in Vegas.,1
He was extremely rude and really,0
My drink was never empty and he made some really great menu suggestions.,0
Don't do it!!!!,1
